,,processor_core_count,processor_clock,processor_core_threadscount,processor_isa,processor_simd,processor_microarchitecture,processor,processor_manufacturer,processor_tdp,processor_core_L1_size, processor_core_L2_size, processor_L3_size,node_memory_bandwidth,node_memory_type
AMD;Athlon;200U,PRO,2,2.3G,4,64-bit,unset,unset,AMDAthlon_PRO_200U,AMD,15,192KB,1MB,4MB,2400M,unset
AMD;Athlon;300GE,,2,3.4G,4,64-bit,unset,unset,AMDAthlon_300GE,AMD,35,192KB,1MB,4MB,2667M,DDR4
AMD;Athlon;300GE,PRO,2,3.4G,4,64-bit,unset,unset,AMDAthlon_PRO_300GE,AMD,35,192KB,1MB,4MB,2667M,unset
AMD;Athlon;300U,,2,2.4G,4,64-bit,unset,unset,AMDAthlon_300U,AMD,15,193KB,1MB,4MB,2400M,unset
AMD;Athlon;300U,PRO,2,2.4G,4,64-bit,unset,unset,AMDAthlon_PRO_300U,AMD,15,384KB,1MB,4MB,2400M,unset
AMD;Athlon;3045B,PRO,2,2.3G,2,64-bit,unset,unset,AMDAthlon_PRO_3045B,AMD,15,192KB,1MB,4MB,2400M,DDR4
AMD;Athlon;3145B,PRO,2,2.4G,4,64-bit,unset,unset,AMDAthlon_PRO_3145B,AMD,15,196608KB,1MB,4MB,2400M,DDR4
AMD;Athlon;5150,APU,4,1.6G,4,64-bit,unset,unset,AMDAthlon_5150_APU,AMD,25,256KB,2MB,unset,1600M,DDR3
AMD;Athlon;5350,APU,4,2.05G,4,64-bit,unset,unset,AMDAthlon_5350_APU,AMD,25,256KB,2MB,unset,1600M,DDR3
AMD;Athlon;5370,APU,4,2.2G,4,64-bit,unset,unset,AMDAthlon_5370_APU,AMD,25,256KB,2MB,unset,1600M,DDR3
AMD;Athlon;7;X4,940,4,3.2G,4,64-bit,unset,unset,AMDAthlon_7_X4_940,AMD,unset,unset,2MB,unset,2400M,DDR4
AMD;Athlon;7;X4,950,4,3.5G,4,64-bit,unset,unset,AMDAthlon_7_X4_950,AMD,unset,unset,2MB,unset,2400M,DDR4
AMD;Athlon;7;X4,970,4,3.8G,4,64-bit,unset,unset,AMDAthlon_7_X4_970,AMD,65,unset,2MB,unset,2400M,DDR4
AMD;Athlon;Gold,3150C,2,2.4G,4,64-bit,unset,unset,AMDAthlon_Gold_3150C,AMD,15,192KB,1MB,4MB,unset,unset
AMD;Athlon;Gold,3150G,4,3.5G,4,64-bit,unset,unset,AMDAthlon_Gold_3150G,AMD,65,384KB,2MB,4MB,2933M,DDR4
AMD;Athlon;Gold,3150GE,4,3.3G,4,64-bit,unset,unset,AMDAthlon_Gold_3150GE,AMD,35,384KB,2MB,4MB,2933M,DDR4
AMD;Athlon;Gold,3150U,2,2.4G,4,64-bit,unset,unset,AMDAthlon_Gold_3150U,AMD,15,192KB,1MB,4MB,2400M,DDR4
AMD;Athlon;II;X2,255e,2,3.1G,2,64-bit,unset,unset,AMDAthlon_II_X2_255e,AMD,45,256KB,2MB,unset,unset,DDR3
AMD;Athlon;II;X3,425e,3,2.7G,3,64-bit,unset,unset,AMDAthlon_II_X3_425e,AMD,45,384KB,1.5MB,unset,unset,DDR3
AMD;Athlon;II;X3,460,3,3.4G,3,64-bit,unset,unset,AMDAthlon_II_X3_460,AMD,95,384KB,1.5MB,unset,unset,DDR3
AMD;Athlon;II;X4,620e,4,2.7G,4,64-bit,unset,unset,AMDAthlon_II_X4_620e,AMD,45,unset,unset,unset,unset,DDR3
AMD;Athlon;II;X4,631,4,2.6G,4,64-bit,unset,unset,AMDAthlon_II_X4_631,AMD,100,unset,4MB,unset,unset,unset
AMD;Athlon;II;X4,638,4,2.7G,4,64-bit,unset,unset,AMDAthlon_II_X4_638,AMD,65,512KB,4MB,unset,unset,unset
AMD;Athlon;II;X4,638,16,2.5G,16,64-bit,unset,unset,AMDAthlon_II_X4_638,AMD,115,768KB,16MB,16MB,2000M,DDR3
AMD;Athlon;II;X4,638,16,2.8G,16,64-bit,unset,unset,AMDAthlon_II_X4_638,AMD,140,48KB,16MB,16MB,2000M,DDR3
AMD;Athlon;II;X4,641,4,2.8G,4,64-bit,unset,unset,AMDAthlon_II_X4_641,AMD,100,512KB,4MB,unset,unset,unset
AMD;Athlon;Silver,3050C,2,2.3G,2,64-bit,unset,unset,AMDAthlon_Silver_3050C,AMD,15,192KB,1MB,4MB,unset,unset
AMD;Athlon;Silver,3050e,2,1.4G,4,64-bit,unset,unset,AMDAthlon_Silver_3050e,AMD,6,unset,1MB,4MB,2400M,DDR4
AMD;Athlon;Silver,3050GE,2,3.4G,4,64-bit,unset,unset,AMDAthlon_Silver_3050GE,AMD,35,192KB,1MB,4MB,2667M,DDR4
AMD;Athlon;Silver,3050U,2,2.3G,2,64-bit,unset,unset,AMDAthlon_Silver_3050U,AMD,15,192KB,1MB,4MB,2400M,DDR4
AMD;Athlon;Silver;3125GE,PRO,2,3.4G,4,64-bit,unset,unset,AMDAthlon_Silver_PRO_3125GE,AMD,35,192KB,1MB,4MB,2667M,DDR4
AMD;Athlon;X4,740,4,3.2G,4,64-bit,unset,unset,AMDAthlon_X4_740,AMD,65,unset,4MB,unset,unset,unset
AMD;Athlon;X4,750,4,3.4G,4,64-bit,unset,unset,AMDAthlon_X4_750,AMD,65,192KB,4MB,unset,1866M,DDR3
AMD;Athlon;X4,750K,4,3.4G,4,64-bit,unset,unset,AMDAthlon_X4_750K,AMD,100,unset,4MB,unset,unset,unset
AMD;Athlon;X4,760K,4,3.8G,4,64-bit,unset,unset,AMDAthlon_X4_760K,AMD,100,unset,4MB,unset,unset,unset
AMD;Athlon;X4,845,4,3.5G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,unset,AMDAthlon_X4_845,AMD,unset,unset,2MB,unset,2133M,DDR3
AMD;Athlon;X4,860K,4,3.7G,4,64-bit,unset,unset,AMDAthlon_X4_860K,AMD,95,128KB,4MB,unset,2133M,DDR3
AMD;Athlon;X4,870K,4,3.9G,4,64-bit,unset,unset,AMDAthlon_X4_870K,AMD,95,128KB,4MB,unset,2133M,DDR3
AMD;Athlon;X4,880K,4,4.0G,4,64-bit,unset,unset,AMDAthlon_X4_880K,AMD,95,256KB,4MB,unset,2133M,DDR3
AMD;E1,2100,2,1.0G,2,64-bit,unset,unset,AMD_E1_2100,AMD,9,unset,1MB,unset,unset,unset
AMD;E1,2200,2,1.0G,2,64-bit,unset,unset,AMD_E1_2200,AMD,9,unset,1MB,unset,unset,unset
AMD;E1,2500,2,1.4G,2,64-bit,unset,unset,AMD_E1_2500,AMD,15,unset,1MB,unset,unset,unset
AMD;E1,6010,2,1.35G,2,64-bit,unset,unset,AMD_E1_6010,AMD,10,unset,1MB,unset,unset,unset
